"HKD-3M-BS-D","HKD","","D"
"HKD-1M-BS-F","HKD","1M","F"
"USD-3M-BS-D","USD","","D"
"USD-1M-BS-F","USD","1M","F"
"USD-3M-BS-D","USD","3M","F"
"USD-6M-BS-F","USD","6M","F"
"CNH-3M-BS-D","CNY","","D"
"CNH-3M-BS-D","CNY","3M","F"
"CAD-3M-BS-D","CAD","","D"
"CAD-3M-BS-D","CAD","3M","F"
"EUR-6M-BS-D","EUR","","D"
"EUR-1M-BS-F","EUR","1M","F"
"EUR-3M-BS-F","EUR","3M","F"
"EUR-6M-BS-D","EUR","6M","F"
