HF_DATA2018010220171231
DR_DATA20171231TFS:CL1BG03055                                                                  01423BG-EGU01    HK00101423TFS01HK001CBCLS  HKD80510010              1                                          511260.00             511260.00                  0.00                  0.00                  0.00                  0.00               1351.00               1351.00               1351.00               1351.00
DR_DATA20171231TFS:CL7FI46166                                                                  01423TF-LNL01    HK00101423TFS02HK001CBCLS  HKD15001010LA403LA02     1                                          314899.14             314899.14                464.93                464.93                  1.82                  1.82               1233.75               1233.75               1235.57               1235.57
DR_DATA20171231TFS:SL6BG00664                                                                  01423BG-EGU01    HK00101423TFS01HK001CBCLS  HKD80510010              1                                           50000.00              50000.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00
DR_DATA20171231TFS:SL6BG00941                                                                  01423BG-EGU01    HK00101423TFS01HK001CBCLS  HKD80510010              1                                           11000.00              11000.00                  0.00                  0.00                  0.00                  0.00                 31.85                 31.85                 31.85                 31.85
DR_DATA20171231TFS:SL8BG01678                                                                  01423BG-EGU01    HK00101423TFS01HK001CBCLS  HKD80510010              1                                         2116000.00            2116000.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00                  0.00
DR_DATA20171231TFS:CL1BG02561                                                                  01423BG-EGU01    HK00101423TFS01HK001CBCLS  HKD80510010              1                                            6400.00               6400.00                  0.00                  0.00                  0.00                  0.00                  4.02                  4.02                  4.02                  4.02
DR_DATA20171231TFS:CL3BG03724                                                                  01423BG-EGU01    HK00101423TFS01HK001CBCLS  HKD80510010              1                                           50000.00              50000.00                  0.00                  0.00                  0.00                  0.00                191.11                191.11                191.11                191.11
DR_DATA20171231TFS:CL5BG04071                                                                  01423BG-EGU01    HK00101423TFS01HK001CBCLS  USD80510010              1                                           11700.00              91410.35                  0.00                  0.00                  0.00                  0.00                 35.01                273.52                 35.01                273.52
DR_DATA20171231TFS:CL6BG04292                                                                  01423BG-EGU01    HK00101423TFS01HK001CBCLS  HKD80510010              1                                          400000.00             400000.00                  0.00                  0.00                  0.00                  0.00                334.73                334.73                334.73                334.73
DR_DATA20171231TFS:CL7BG04390                                                                  01423BG-EGU01    HK00101423TFS01HK001CBCLS  HKD80510010              1                                         7350000.00            7350000.00                  0.00                  0.00                  0.00                  0.00               2951.10               2951.10               2951.10               2951.10
